Date,Average weight (kg),Max weight (kg),Min weight (kg),Calories (kcal),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Step count,Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Move Minutes count,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Pilates duration (ms),Treadmill running duration (ms),Treadmill walking duration (ms),Yoga duration (ms)
2019-08-27,,,,1724.7520330998038,17.0,17,28.5507911,77.2122445,28.6165061,77.2427329,,,,7090,4185.734650552273,2.70769505870409,14.619999885559082,0.0,95,,73153799,4095033,,,,,
2019-08-28,,,,1543.3402650142384,,,,,,,,,,2074,691.110368013382,5.720165132313421,65.0,0.2721730172634125,29,,80701163,1380660,,,,,
2019-08-29,,,,1473.9927279349329,,,,,,,,,,375,97.4416139125824,0.5101797461396855,0.9175050258636475,0.2846338450908661,6,,86214807,185193,,,,,
2019-08-30,,,,1574.7254863123972,22.0,22,28.478171,77.0606626,28.48187,77.0661535,,,,3440,1801.3943974375725,0.519975569110508,1.243428111076355,0.2815583348274231,39,,84305912,1921703,,,,,
2019-08-31,,,,1629.1536512911396,25.0,25,28.4784105,77.0642043,28.479999,77.0687397,,,,4241,2413.7534840106964,0.8977829244540675,7.420000076293945,0.1844286173582077,50,,82197421,2859980,,,,,
2019-09-01,,,,1599.9405071128517,34.0,31,28.474007,77.0523789,28.4867956,77.0689053,,,,4521,2483.7693989276886,0.7597405014107652,2.1664724349975586,0.29401904344558716,40,,83299893,2356381,,,,,
2019-09-02,,,,1550.1991487890402,4.0,4,28.478229,77.0606961,28.4796342,77.062752,,,,2016,842.2659733295441,0.7665132167583492,8.380000114440918,0.28442272543907166,28,,81535118,1083147,184128,,,,
2019-09-03,,,,1576.0523035868252,6.0,6,28.4769851,77.057408,28.4796108,77.0627393,,,,3111,1552.4289296008646,0.6898475894563246,1.350000023841858,0.34741464257240295,38,,84216875,1944577,,,,,
2019-09-04,,,,1478.5190405831167,,,,,,,,,,517,138.92601919174194,0.5441041200433357,0.9652259349822998,0.28122687339782715,9,,85986987,263222,,,,,
2019-09-05,,,,1482.209278332719,,,,,,,,,,489,68.95807790756226,0.699280314676799,2.450000047683716,0.317397803068161,7,,85417041,326835,,,,,
2019-09-06,,,,1616.575710444567,7.0,7,28.4613261,77.0526246,28.4800292,77.0643308,,,,3383,1712.6268405914307,0.61895712536449,2.123856544494629,0.26606839895248413,48,,81717490,2643150,,,,,
2019-09-07,,,,1569.3955189550527,13.0,13,28.478013,77.0613545,28.4818434,77.0660373,,,,3032,1500.2874784469604,0.8235671479005257,1.149914264678955,0.2792031764984131,32,,84063551,1829822,,,,,
2019-09-08,,,,1673.1295976511046,13.0,13,28.6312543,77.2176887,28.6355573,77.2818016,,,,5056,2429.009773492813,1.1406934016333625,14.8100004196167,0.09763415902853012,66,,73307312,3618073,,,,,
2019-09-09,,,,1566.7815440998168,15.0,15,28.4796832,77.063567,28.4800292,77.0643308,,,,3306,1578.7746315002441,0.8655349254550007,1.1478734016418457,0.28253647685050964,39,,83010486,1784761,,,,,
2019-09-10,,,,1556.6477836231572,18.0,18,28.4796427,77.0627637,28.4817644,77.0660335,,,,2632,1586.2409576177597,1.0011329352282035,1.273155689239502,0.28393808007240295,27,,84789933,1610067,,,,,
2019-09-11,,,,1571.4062486135333,15.0,15,28.4780002,77.0608134,28.4794536,77.0625636,,,,3087,1460.1987216472626,0.5231960179313322,1.2789349555969238,0.2790980041027069,35,,83788838,1864485,,,,,
2019-09-12,,,,1595.2912091018068,3.0,3,28.4730778,77.0474528,28.4741129,77.0481704,,,,2759,1374.5621573328972,0.6291684899658955,2.0,0.10831296443939209,36,,80026619,2274052,,,,,
2019-09-13,,,,1552.488590874979,1.0,1,,,,,,,,1680,614.4799721240997,0.6417706802145922,9.0,0.2703861594200134,27,,81621799,1538367,,,,,
2019-09-14,,,,1555.303015787674,3.0,3,28.5550604,77.083128,28.5575566,77.0842443,,,,2232,937.312465429306,1.3424132001249534,2.641765594482422,0.2742699086666107,26,,79989157,1586886,,,,,
2019-09-15,,,,1799.987073894742,8.0,8,7.9062434,98.285823,7.9562828,98.3303344,,,,7337,2435.136789858341,38.213589752575295,215.69000244140625,0.04140050709247589,114,,49443522,5804944,,,,,
2019-09-16,,,,2018.4352475952219,48.0,45,7.8863021,98.2966976,7.9087336,98.3875897,,,,15386,7043.131229817867,1.7833137125002057,13.289999961853027,0.1853199154138565,202,,58108452,9023982,241618,,,,
2019-09-17,,,,1938.3396879391867,24.0,24,7.8997009,98.2969803,7.9083207,98.2982941,,,,12437,4600.03373414278,0.652070395389219,1.2764830589294434,0.253402441740036,186,,55925261,8189980,,,,,
2019-09-18,,,,1973.9236532022546,16.0,16,8.0323797,98.8237109,8.0340043,98.8260556,,,,11869,5366.725328050554,0.576311228365633,1.2142722606658936,0.24642688035964966,161,,66102063,8666540,60614,,,,
2019-09-19,,,,1719.0563585886841,14.0,14,,,,,,,,6394,2841.2435762286186,0.7843999248846643,1.724165678024292,0.2716261148452759,89,,73746223,4408453,,,,,
2019-09-20,,,,2094.7373175263674,34.0,34,,,,,,,,15655,7407.459890961647,0.6664284511639434,1.3184882402420044,0.2782207727432251,224,,60659284,10746078,62006,,,,
2019-09-21,,,,1999.422331237485,24.0,24,,,,,,,,14518,6631.011623322964,0.6166180298107443,1.5378845930099487,0.25001150369644165,188,,64188605,9242968,,,,,
2019-09-22,,,,1607.4513566547616,3.0,3,,,,,,,,3484,1522.2544775605202,0.826339706716243,1.1019773483276367,0.2675919532775879,50,,71270717,2485860,,,,,
2019-09-23,,,,1463.2500165282631,,,,,,,,,,12,,,,,,,86400000,,,,,,
2019-09-24,,,,1552.800203401022,,,28.4780205,77.0603835,28.4798435,77.063934,,,,1891,917.9844991564751,1.3656645835064387,10.87750244140625,0.09588766098022461,26,,82159269,1543740,,,,,
2019-09-25,,,,1609.1554417872005,19.0,19,28.4784582,77.0627609,28.4818294,77.0701965,,,,4432,2282.769391775131,0.45865362502431584,5.8147478103637695,0.2776530385017395,49,,82513089,2515236,,,,,
2019-09-26,,,,1593.3376157508844,22.0,22,28.4782855,77.0627562,28.4817212,77.0694335,,,,3968,2051.923460006714,0.9194908821100524,1.3673362731933594,0.5447750687599182,40,,83920857,2242556,,,,,
2019-09-27,,,,1474.676544546414,,,,,,,,,,442,85.03060722351074,0.5158168628636567,0.7523717880249023,0.27729693055152893,7,,85596540,196981,,,,,
2019-09-28,,,,1587.3437868648455,7.0,7,28.478024,77.0604258,28.4799192,77.0634034,,,,2992,1148.9455089569092,2.290748814298121,17.940000534057617,0.27523478865623474,42,,74711724,1739997,176811,,,,
2019-09-29,,,,1693.40088937055,32.0,32,28.4783649,77.0609379,28.4820519,77.0714556,,,,5557,2876.7614525556564,2.540676076494174,12.729999542236328,0.27321121096611023,62,,69298370,3966456,,,,,
2019-09-30,,,,1518.836486321033,1.0,1,,,,,,,,1437,645.1105666160583,0.42620395666001354,1.0922361612319946,0.25878530740737915,17,,85273771,958245,,,,,
2019-10-01,,,,1620.1098850162814,10.0,10,28.475644,77.0591786,28.4815262,77.0658049,,,,3538,1958.3692153692245,0.7573401660085809,1.543733835220337,0.2815583050251007,44,,83540473,2704079,,,,,
2019-10-02,,,,1561.7848150823067,5.0,5,28.5031207,77.0970619,28.5044887,77.0973406,,,,2750,1159.219935214147,1.1547467758485153,23.93653678894043,0.2790312170982361,40,,81127714,1698624,,,,,
2019-10-03,,,,1530.6900514873346,3.0,3,,,,,,,,1462,608.2900643283501,0.7320644911347266,1.7145065069198608,0.19649705290794373,22,,83786012,1162586,,,,,
2019-10-04,,,,1558.9014958921186,5.0,5,28.4785486,77.0612757,28.4796713,77.0638879,,,,2310,1040.2117602825165,0.464285585488573,2.9869606494903564,0.2749459743499756,29,,82518017,1648920,,,,,
2019-10-05,,,,1597.7161888594712,13.0,13,28.4783819,77.0627484,28.4836625,77.0710326,,,,3915,1997.3528425693512,0.55713647631872,2.441279649734497,0.28605321049690247,45,,83681498,2318036,,,,,
2019-10-06,,,,1626.985838720824,30.0,30,28.4781648,77.0608876,28.4818268,77.0698459,,,,4641,2419.979698508978,0.9186774897849521,1.6013182401657104,0.2841570973396301,48,,83513080,2822610,,,,,
2019-10-07,,,,1494.8601656780868,,,,,,,,,,735,202.50191354751587,2.122823690321267,22.0,0.2721730172634125,11,,71179291,544923,,,,,
2019-10-08,,,,1554.8094175895903,,,29.3895075,76.9547561,29.3905627,76.9557315,,,,1941,762.406747341156,0.8269581928971237,2.492967128753662,0.2692275941371918,25,,78172678,1578375,,,,,
2019-10-09,,,,1514.605990764637,,,,,,,,,,670,244.69977283477783,3.2068292661325573,22.282238006591797,0.27714505791664124,8,,83792776,885317,,,,,
2019-10-10,,,,1626.7977745337612,2.0,2,,,,,,,,2625,1094.5432699918747,0.47121855782817457,1.8839493989944458,0.24988289177417755,29,,77678719,2819369,,,,,
2019-10-11,69.0,69.0,69.0,1605.8905037379818,15.0,15,,,,,,,,4099,2010.0777926445007,0.490536434322476,1.257697582244873,0.24673934280872345,47,,79191805,2677437,,,,,
2019-10-12,69.0,69.0,69.0,1639.598934103223,31.0,31,,,,,,,,5157,2671.5861597061157,0.4928021937768195,1.2026013135910034,0.27593234181404114,54,,81148886,3498169,,,,,
2019-10-13,,,,1467.4149983754116,,,,,,,,,,473,108.16671067476273,2.619527440111068,10.880000114440918,0.28051742911338806,3,,67358097,430527,,,,,
2019-10-14,,,,1595.0000091539698,2.0,2,28.4731738,77.0474154,28.4742623,77.0483015,,,,3137,1530.703790962696,0.9486257510062029,16.0,0.2815582752227783,40,,82017507,2703594,,,,,
2019-10-15,,,,1593.0134130882793,4.0,4,28.4781709,77.0800827,28.4808925,77.0818281,,,,4081,1490.9495215415955,1.192979251968561,8.216874122619629,0.13219109177589417,57,,79078010,2668198,,,,,
2019-10-16,,,,1724.3331824618308,9.0,9,28.4788024,77.0627412,28.481293,77.0714999,,,,6061,3167.6758216023445,0.6634735462949917,2.0989413261413574,0.17813998460769653,72,,76051450,4664378,151726,,,,
2019-10-17,,,,1443.2500267532093,,,,,,,,,,49,,1.078978518976323,1.7951751947402954,0.8820329904556274,,,86400000,,,,,,
2019-10-18,,,,1601.3709755099933,25.0,25,28.4734392,77.0474777,28.4812105,77.0701881,,,,4797,2656.4753398895264,1.1744654338521932,6.737511157989502,0.2859479486942291,52,,81057098,2817098,,,,,
2019-10-19,,,,1646.4220871521695,6.0,6,28.4785376,77.0622882,28.4799348,77.0636085,,,,4162,2151.1417112350464,1.3082158311758345,7.118922233581543,0.24817010760307312,54,,80001813,3619732,,,,,
2019-10-20,,,,1650.0457305285506,4.0,4,28.4729858,77.0862693,28.5042004,77.0976835,,,,4454,2136.78434497118,2.1119361542432524,16.978626251220703,0.253402441740036,56,,75887179,3684291,,,,,
2019-10-21,,,,1677.660055162648,15.0,15,28.4785836,77.0613472,28.631496,77.2424779,,,,6032,2801.800266623497,2.7340872992624217,14.213336944580078,0.06436330080032349,80,,68529066,4176271,,,,,
